Sociedad > Salud > Análisis de la mortalidad
    Defunciones de residentes según sexos; grupos de edad y causas de muerte (grandes grupos de CIE-10). Islas de Canarias y años.
Defunciones de residentes según sexos; grupos de edad y causas de muerte (grandes grupos de CIE-10). Islas de Canarias y años.
Unidad de medida:Defunciones


, Gran Canaria
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,120
      II. TUMORES [NEOPLASIAS],1.510
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,31
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,306
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,131
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,175
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,1
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.672
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,447
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,298
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,12
      XIII. ARTROPATÍAS,58
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,98
      XV. EMBARAZO; PARTO Y PUERPERIO,0
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,25
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,28
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,173
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,301
2003,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,99
      II. TUMORES [NEOPLASIAS],1.385
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,15
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,268
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,136
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,164
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.831
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,421
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,282
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,16
      XIII. ARTROPATÍAS,45
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,120
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,21
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,31
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,129
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,237
2002,
   AMBOS SEXOS,
      I. CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,115
      II. TUMORES [NEOPLASIAS],1.362
      III. ENFS. DE SANGRE Y DE ÓRGS. HEMATOPOYÉTICOS; Y CIERTOS TRASTS. QUE AFECTAN MECAN. INMUNIDAD,21
      IV. ENFERMEDADES ENDOCRINAS; NUTRICIONALES Y METABÓLICAS,259
      V. TRASTORNOS MENTALES Y DEL COMPORTAMIENTO,112
      VI. ENFERMEDADES DEL SISTEMA NERVIOSO,140
      VII. ENFERMEDADES DEL OJO Y SUS ANEXOS,0
      VIII. ENFERMEDADES DEL OÍDO Y DE LA APÓFISIS MASTOIDES,0
      IX. ENFERMEDADES DEL SISTEMA CIRCULATORIO,1.810
      X. ENFERMEDADES DEL SISTEMA RESPIRATORIO,507
      XI. ENFERMEDADES DEL SISTEMA DIGESTIVO,261
      XII. ENFERMEDADES DE LA PIEL Y DEL TEJIDO SUBCUTÁNEO,21
      XIII. ARTROPATÍAS,54
      XIV. ENFERMEDADES DEL SISTEMA GENITOURINARIO,95
      XV. EMBARAZO; PARTO Y PUERPERIO,1
      XVI. CIERTAS AFECCIONES ORIGINADAS EN EL PERÍODO PERINATAL,13
      XVII. MALFORMACIONES CONGÉNITAS; DEFORMIDADES Y ANOMALÍAS CROMOSÓMICAS,27
      XVIII. SÍNTOMAS; SIGNOS Y HALLAZGOS ANORMALES CLÍNICOS Y DE LABORATORIO; NO CLASIFS. OTRA PARTE,115
      XX. CAUSAS EXTERNAS DE MORBILIDAD Y DE MORTALIDAD,247

Notas:

Notas de tabla
  1.- (1) 001-008 I.Enfermedades infecciosas y parasitarias: Por motivos de comparabilidad; se incluye VIH+ (R75) en el Capítulo I. Enfermedades infecciosas y parasitarias aunque la CIE-10 lo encuadra en el Capítulo XVIII. Síntomas; signos y hallazgos anormales clínicos y de laboratorio; NCOP.
(2) 086-089 XVIII.Síntomas; signos y hallazgos anormales clínicos y de laboratorio; NCOP:Por motivos de comparabilidad; se incluye VIH+ (R75) en el Capítulo I. Enfermedades infecciosas y parasitarias aunque la CIE-10 lo encuadra en el Capítulo XVIII. Síntomas; signos y hallazgos anormales clínicos y de laboratorio; NCOP.
(3) Falta de información de los Registros Civiles de los municipios de Antigua (2004);  Puerto del Rosario (2004; 2005 y 2007-que se estima infravalora en alrededor de 109 las defunciones de residentes de Fuerteventura y del total de Canarias); Yaiza (2004) y Arona (2004).
(.) No procede / Categoría no aplicable.


Fuente:Instituto Canario de Estadística (ISTAC), Instituto Nacional de Estadística (INE) y Consejería de Sanidad.

Copyright: 2023


Instituto Canario de Estadística (ISTAC) www.gobiernodecanarias.org/istac
